"노드 ID","정류소번호","정류소명","X좌표","Y좌표","정류소 타입"
"06164","105000078","동대문구청.용두역3번출구","127.0383451914","37.5755374598","일반차로"
"06165","105000079","동대문구청.용두동주민센터","127.0384168651","37.5765807726","일반차로"
"06166","105000080","동대문구청.용두동주민센터","127.0379882341","37.5753096484","일반차로"
"06167","105000081","경동시장앞","127.0387559286","37.5819989191","일반차로"
"06168","105000082","제기동주민센터.서울약령시앞","127.0383947016","37.5819251477","일반차로"
"06169","105000083","경동시장","127.038283869","37.5799644113","일반차로"
"06170","105000084","홍파초등학교.정화여중고","127.038639","37.585531","일반차로"
"06171","105000085","홍파초등학교.정화여중고","127.0383377075","37.5855971074","일반차로"
"06172","105000086","제기동한신아파트앞","127.037888","37.587603","일반차로"
"06173","105000087","고려대역.고대앞삼거리","127.0366856036","37.5894337656","일반차로"
"06174","105000088","고려대역.고대앞삼거리","127.0366498479","37.5887478517","일반차로"
"06175","105000089","고려대학교앞","127.0346801536","37.5881363102","일반차로"
"06176","105000090","우신향병원","127.0323863454","37.5857223011","일반차로"
"06177","105000091","안암오거리","127.0298970499","37.5824613624","일반차로"
"06178","105000092","대광고등학교앞","127.0255621436","37.5797777214","일반차로"
"06179","105000093","종암초등학교앞","127.0295992386","37.5816186068","일반차로"
"06180","105000094","용두시장앞","127.0303341829","37.5791115868","일반차로"
"06181","105000095","용두시장앞","127.030161","37.579035","일반차로"
"06182","105000096","서울시동부병원","127.0304302445","37.5758964701","일반차로"
"06183","105000097","서울시동부병원","127.0306952909","37.5761901571","일반차로"
"06184","105000098","동아제약앞","127.0304424882","37.5725993738","일반차로"
"06185","105000099","동아제약앞","127.0307312249","37.5727164409","일반차로"
"06186","105000100","떡전교앞","127.0526948922","37.5849040401","일반차로"
"06187","105000101","떡전교앞","127.0525769324","37.5846184473","일반차로"
"06188","105000102","서울시립대입구","127.0540556741","37.5830057298","일반차로"
"06189","105000103","서울시립대학교앞","127.053939948","37.5826804893","일반차로"
"06190","105000104","서울시동부교육지원청.해성국제컨벤션고교","127.0568650184","37.5791853497","일반차로"
"06191","105000105","전농로터리시장.동부교육지원청","127.05676","37.578817","일반차로"
"06192","105000106","전농우체국앞","127.057575","37.576367","일반차로"
"06193","105000107","전농우체국앞","127.0578903291","37.5765201613","일반차로"
"06194","105000108","청솔우성아파트.답십리시장","127.0576479903","37.5737092806","일반차로"
"06195","105000109","미드카운티아파트.청솔우성아파트","127.0573890413","37.5741112935","일반차로"
"06196","105000110","답십리2동시온교회앞","127.0573999289","37.5705961302","일반차로"
"06197","105000111","답십리1동희망샘교회앞","127.0571055329","37.5705241856","일반차로"
"06198","105000112","답십리초등학교.현대시장","127.0572012663","37.568453856","일반차로"
"06199","105000113","답십리초등학교앞","127.0569308801","37.5686265703","일반차로"
"06200","105000114","답십리역사거리","127.0552010664","37.5655060079","일반차로"
"06201","105000115","황물로사거리","127.0559919809","37.5665418919","일반차로"
"06202","105000116","답십리1동주민센터.래미안위브","127.0510037445","37.5723670085","일반차로"
"06203","105000117","답십리1동주민센터.래미안위브","127.0511402741","37.5720993946","일반차로"
"06204","105000118","동대문중학교","127.0537544246","37.5750129513","일반차로"
