정제역명,지하철_총하차,위도,경도,주변_버스_하차,주변_상가_수,총_유입_인구,혼잡_가성비_지수
봉천,681754,37.4822899027313,126.942835953538,494330.8809890532,517,1176084.8809890533,4.3959374766510955
도림천,42386,37.5142838314856,126.8829716972,53285.857097265776,42,95671.85709726578,4.389959835452673
월곡,350746,37.6017497429983,127.041415624579,271189.02430245024,273,621935.0243024502,4.389519007299678
강동구청,319141,37.5306740877124,127.12057605164,459691.37899256893,341,778832.3789925689,4.3783434197579965
어린이대공원,604304,37.547134285393,127.073962678957,503067.2777758347,479,1107371.2777758348,4.325555277237705
안국,908777,37.5762179204048,126.984657242148,920247.4020023872,791,1829024.4020023872,4.324707569036637
압구정,968003,37.523542792309,127.028308776112,508806.37254623225,632,1476809.3725462323,4.279493235887432
사가정,499199,37.5807602247672,127.08868027183,725939.5283337842,522,1225138.528333784,4.260739188702296
합정,1512265,37.5501152068908,126.914638180431,821596.4208618507,994,2333861.4208618505,4.259034256324908
양평,341992,37.525649288165,126.885763033327,222048.09537368012,240,564040.0953736801,4.255009111366235
종로3가,1732032,37.570516997425,126.991117384357,1051376.05731023,1176,2783408.05731023,4.2250347533769865
용마산,178901,37.574033079196,127.08705815476,214020.21235108218,166,392921.2123510822,4.22475479323822
매봉,345010,37.4869938091855,127.046680387973,181881.26071651684,222,526891.2607165169,4.213385098845518
수락산,391419,37.6774548530417,127.055349178185,240496.87668596164,266,631915.8766859616,4.209414399485833
증산,281936,37.5836512077424,126.90937668235,371446.0761780778,274,653382.0761780778,4.193558266044253
구산,189160,37.6112122196295,126.917182386796,503805.2553485949,290,692965.2553485949,4.184907962857675
태릉입구,584046,37.6191432644048,127.075135955887,368074.21477180533,398,952120.2147718053,4.180140026555217
영등포시장,360236,37.522183016497,126.905289623098,1209767.8705536376,656,1570003.8705536376,4.178330986761027
광운대,269818,37.6234102703197,127.062256658106,139793.39277774876,171,409611.39277774876,4.174678379244808
총신대입구,643399,37.4880715589179,126.982278960848,802530.1504438807,602,1445929.1504438808,4.163409967038824
녹사평,195915,37.5344455261396,126.985524548735,278689.93831551145,197,474604.93831551145,4.150811949365815
숙대입구,487541,37.5455659244785,126.971940107137,949892.3527645544,595,1437433.3527645543,4.139319467742388
성신여대입구,844976,37.5930994534562,127.016781077977,1195710.5913476066,843,2040686.5913476066,4.13096058198359
마곡나루,890134,37.5667930302835,126.827518199814,108010.49453833282,412,998144.4945383328,4.127654758293131
오류동,330974,37.4951939156691,126.844904068063,373119.5448109958,288,704093.5448109958,4.090359769472571
을지로입구,1570329,37.5660595575016,126.982084266762,1201196.9926020904,1123,2771525.9926020904,4.051917960739954
건대입구,1764679,37.540816040886,127.069031304229,392256.74107095576,870,2156935.741070956,4.03349798551825
신용산,740585,37.5296155628471,126.968215931799,809721.5861251873,625,1550306.5861251873,4.031458051251072
종각,1157214,37.5702325959004,126.981415752051,2133209.0476403683,1326,3290423.0476403683,4.029875726658703
보라매,339908,37.4992730261984,126.920336491579,391007.0437361419,293,730915.0437361419,4.0086683349062175
삼성,1481403,37.5074093716094,127.058026248636,622155.6213987984,843,2103558.621398798,4.007492782350674
남성,328864,37.4847366181348,126.971116343137,279271.60715057736,243,608135.6071505774,3.995812735868277
